,Month,Firefox,Safari,Google Chrome,Internet Explorer,Opera
0,2004-01-01,12,2,2,37,9
1,2004-02-01,20,2,2,39,9
2,2004-03-01,18,2,2,34,8
3,2004-04-01,20,2,2,33,9
4,2004-05-01,20,2,2,35,9
5,2004-06-01,29,2,1,35,10
6,2004-07-01,41,2,2,35,11
7,2004-08-01,33,2,2,33,9
8,2004-09-01,44,2,2,32,9
9,2004-10-01,45,2,1,32,9
10,2004-11-01,68,2,1,28,9
11,2004-12-01,65,2,1,29,9
12,2005-01-01,64,2,1,28,8
13,2005-02-01,64,2,1,29,9
14,2005-03-01,58,2,1,26,7
15,2005-04-01,55,2,1,25,8
16,2005-05-01,57,2,1,25,8
17,2005-06-01,49,2,1,23,7
18,2005-07-01,55,2,2,25,7
19,2005-08-01,54,2,1,27,8
20,2005-09-01,54,2,1,24,10
21,2005-10-01,52,2,1,23,10
22,2005-11-01,52,2,1,23,9
23,2005-12-01,63,2,1,22,9
24,2006-01-01,55,2,1,23,9
25,2006-02-01,54,2,1,25,10
26,2006-03-01,51,2,1,23,9
27,2006-04-01,52,2,1,25,9
28,2006-05-01,49,2,1,25,9
29,2006-06-01,50,2,1,25,10
30,2006-07-01,55,2,1,26,9
31,2006-08-01,56,2,1,28,10
32,2006-09-01,58,2,1,27,10
33,2006-10-01,75,2,1,33,9
34,2006-11-01,74,2,1,35,9
35,2006-12-01,69,2,1,33,11
36,2007-01-01,64,2,1,31,9
37,2007-02-01,63,2,1,29,9
38,2007-03-01,60,2,1,26,9
39,2007-04-01,59,2,1,25,9
40,2007-05-01,56,2,1,24,9
41,2007-06-01,57,8,1,22,9
42,2007-07-01,58,4,1,23,9
43,2007-08-01,59,4,1,23,9
44,2007-09-01,60,3,1,21,9
45,2007-10-01,59,4,1,23,9
46,2007-11-01,60,4,1,21,9
47,2007-12-01,66,4,1,23,11
48,2008-01-01,59,4,1,22,10
49,2008-02-01,61,4,1,21,10
50,2008-03-01,64,6,1,22,10
51,2008-04-01,62,6,1,21,10
52,2008-05-01,64,5,1,20,10
53,2008-06-01,100,5,1,21,12
54,2008-07-01,79,5,1,21,11
55,2008-08-01,73,5,1,22,10
56,2008-09-01,75,5,56,25,10
57,2008-10-01,66,4,13,22,11
58,2008-11-01,66,5,12,22,11
59,2008-12-01,71,5,15,25,12
60,2009-01-01,69,5,13,24,11
61,2009-02-01,65,6,12,24,10
62,2009-03-01,66,7,13,30,11
63,2009-04-01,64,5,16,29,10
64,2009-05-01,61,5,15,26,10
65,2009-06-01,62,7,15,25,10
66,2009-07-01,73,6,18,27,10
67,2009-08-01,72,5,18,26,11
68,2009-09-01,67,6,20,24,13
69,2009-10-01,66,5,21,23,11
70,2009-11-01,68,5,24,23,12
71,2009-12-01,69,5,29,23,11
72,2010-01-01,74,5,30,24,11
73,2010-02-01,70,5,32,22,11
74,2010-03-01,73,5,30,23,14
75,2010-04-01,65,5,30,22,12
76,2010-05-01,55,5,31,20,11
77,2010-06-01,58,7,32,20,10
78,2010-07-01,63,6,32,19,15
79,2010-08-01,60,6,33,19,14
80,2010-09-01,60,5,37,23,15
81,2010-10-01,61,5,38,21,15
82,2010-11-01,57,5,36,20,14
83,2010-12-01,60,5,42,21,16
84,2011-01-01,55,5,39,19,15
85,2011-02-01,57,5,45,19,15
86,2011-03-01,73,5,44,23,16
87,2011-04-01,61,5,43,21,17
88,2011-05-01,61,5,46,21,16
89,2011-06-01,62,5,46,20,16
90,2011-07-01,57,6,49,19,17
91,2011-08-01,62,6,49,18,16
92,2011-09-01,57,5,51,17,18
93,2011-10-01,53,6,50,17,18
94,2011-11-01,51,5,50,16,18
95,2011-12-01,50,5,54,16,19
96,2012-01-01,50,5,52,16,18
97,2012-02-01,48,5,50,15,18
98,2012-03-01,44,5,47,15,18
99,2012-04-01,41,5,47,14,17
100,2012-05-01,40,5,48,14,16
101,2012-06-01,43,5,45,13,17
102,2012-07-01,44,5,51,13,17
